name,website_url,cuisine_type
"Copper & Crane",https://www.copperandcrane.co.uk/,"Tapas & Cocktails"
"Costa Coffee Plymouth",https://www.costa.co.uk/,"Coffee Shop"
"Cosy Club Plymouth",https://www.cosyclub.co.uk/locations/plymouth,"British Brasserie"
"Côte Brasserie Plymouth",https://www.cote.co.uk/restaurants/plymouth,"French Brasserie"
"Domino's Pizza Plymouth",https://www.dominos.co.uk/,"Pizza Delivery"
"East Street Kitchen","https://www.eastst reetkitchen.co.uk/","Modern British"
"Five Guys Plymouth",https://restaurants.fiveguys.co.uk/plymouth,"American Burgers"
"Five Guys Plymouth",https://www.fiveguys.co.uk/locations/plymouth,"American Burgers"
"Five Guys Plymouth",https://www.fiveguys.co.uk/,"American Burgers"
"Fletcher's Restaurant",https://fletchersrestaurant.co.uk/,"Fine Dining (Michelin Recommended)"
"Frankie & Benny's Plymouth",https://www.frankieandbennys.com/restaurants/plymouth,American-Italian
"Frankie & Benny's Plymouth",https://www.frankieandbennys.com/,American-Italian
"Ganges Indian Restaurant",https://www.gangesplymouth.co.uk/,Indian
"Giggling Squid Plymouth",https://www.gigglingsquid.com/,Thai
"Gin & Olive",https://www.ginandolive.com/,Mediterranean
"Gourmet Burger Kitchen Plymouth",https://www.gbk.co.uk/restaurants/plymouth,"Burger Restaurant"
"Greggs Plymouth",https://www.greggs.co.uk/,Bakery
"Harvester Plymouth",https://www.harvester.co.uk/restaurants/southwest/harvestertransit,"British Family Dining"
"Himalaya Nepalese Cuisine",https://www.himalayaplymouth.co.uk/,Nepalese
"Himalayan Kitchen",https://www.himalayankitchenplymouth.co.uk/,Nepalese
"Himalayan Spice",https://www.himalayanspiceplymouth.co.uk/,Nepalese/Indian
"Hubbox Plymouth",https://www.hubbox.co.uk/,"Gourmet Burgers"
"Jack Rabbit Cafe",https://www.jackrabbitcafe.co.uk/,Cafe
"Jacka Bakery",https://www.jackabakery.com/,Bakery
"Jacka Bakery Café",https://www.jackabakery.co.uk/,"Bakery & Café"
"Jolly Jacks",http://eatoutdevon.com/restaurants/plymouth/jolly-jacks.html,"Waterside Dining"
"KFC Plymouth",https://www.kfc.co.uk/,"Fast Food Chicken"
"Kapadokya Restaurant",https://www.kapadokyaplymouth.co.uk/,Turkish
"Koishii Sushi Bar",https://www.koishii.co.uk/,Japanese
"Korean BBQ House",https://www.koreanbbqplymouth.co.uk/,Korean
"Kuku Indian Restaurant",https://www.kukuplymouth.co.uk/,Indian
"Las Iguanas Plymouth",https://www.iguanas.co.uk/restaurants/plymouth/,"Latin American"
"Las Iguanas Plymouth",https://www.iguanas.co.uk/,"Latin American"
"Lebanese Nights",https://www.lebanesenightsplymouth.co.uk/,Lebanese
"Loungers - Seco",https://thelounges.co.uk/seco/,"All-Day Dining"
"McDonald's Plymouth",https://www.mcdonalds.com/gb/en-gb.html,"Fast Food"
"Mediterranean Kitchen",https://www.medkitchenplymouth.co.uk/,Mediterranean
"Meze Lounge","https://www.mezeloungeply mouth.co.uk/",Mediterranean
"Miller & Carter Plymouth",https://www.millerandcarter.co.uk/restaurants/south-west/millerandcarterplymouth,Steakhouse
"Mumbai Spice",https://www.mumbaispiceplymouth.co.uk/,Indian
"Nando's Barbican",https://www.nandos.co.uk/,"Portuguese Chicken"
"Nando's Plymouth",https://www.nandos.co.uk/restaurants/plymouth/,Portuguese/African
"Panchos Burritos",https://www.panchosburritos.com/,Mexican
"Papa John's Plymouth",https://www.papajohns.co.uk/,"Pizza Delivery"
"Pasta Remoli",https://www.pastaremoli.co.uk/,"Italian Pasta"
"Pho Plymouth",https://www.phocafe.co.uk/,Vietnamese
"Pier One",https://www.pieroneplymouth.co.uk/,"Contemporary Seafood"
"Pizza Express Plymouth",https://www.pizzaexpress.com/plymouth,Italian
"Pizza Express Plymouth",https://www.pizzaexpress.com/,"Italian Pizza"
"Pizza Hut Plymouth",https://www.pizzahut.co.uk/restaurants/plymouth,"Pizza Chain"
"Pizza Hut Plymouth",https://www.pizzahut.co.uk/,"Pizza Chain"
"Plymouth Arts Centre Cafe",https://www.plymouthartscentre.org/,"Vegetarian Cafe"
"Plymouth Arts Centre Café",https://plymouthartscentre.org/,"Café/Vegetarian"
"Positano Restaurant",https://www.positanoplymouth.co.uk/,Italian
"Pret A Manger Plymouth",https://www.pret.co.uk/,"Coffee & Sandwiches"
"Prezzo Plymouth",https://www.prezzorestaurants.co.uk/restaurants/plymouth/,Italian
"Prezzo Plymouth",https://www.prezzorestaurants.co.uk/,Italian
"Revolution Plymouth",https://www.revolution-bars.co.uk/bar/plymouth/,"Bar & Restaurant"
"Revolution Plymouth",https://www.revolution-bars.co.uk/bar/plymouth,"Bar & Restaurant"
"River Cottage Canteen Plymouth",https://www.rivercottage.net/plymouth,"British Farm-to-Table"
"Rockfish Plymouth",https://therockfish.co.uk/pages/plymouth-seafood-restaurant,"Seafood & Fish"
"Rockfish Plymouth",https://www.therockfish.co.uk/restaurants/plymouth,Seafood
"Royal Bengal",https://www.royalbengalplymouth.co.uk/,Indian
"Sakura Japanese Restaurant",https://www.sakuraplymouth.co.uk/,Japanese
"Salumi Bar & Eatery",https://www.salumi.co.uk/,"Modern British & Asian Fusion"
"Seco Lounge",https://www.thelounges.co.uk/seco/,"All Day Dining"
"Shanaz Indian Cuisine",https://www.shanazplymouth.co.uk/,Indian
"Slug & Lettuce Plymouth",https://www.slugandlettuce.co.uk/plymouth/,"British Bar & Grill"
"Slug & Lettuce Plymouth",https://www.slugandlettuce.co.uk/plymouth,"Bar & Grill"
"Spice Island Tandoori",https://www.spiceislandplymouth.co.uk/,Indian
"Starbucks Drake Circus",https://www.starbucks.co.uk/,"Coffee Shop"
"Subway Plymouth",https://www.subway.com/en-GB,"Sandwich Chain"
"Supha's Street Food",https://www.suphasstreetfood.co.uk/,"Thai & Vietnamese"
"Sutton Snax",https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d2294864-Reviews-Sutton_Snax-Plymouth_Devon_England.html,"Café & Deli"
"TGI Fridays Plymouth",https://www.tgifridays.co.uk/restaurants/plymouth,American
"Taco Bell Plymouth",https://www.tacobell.co.uk/,"Mexican Fast Food"
"Thai House Restaurant",https://www.thaihouseplymouth.co.uk/,Thai
"The Bank Restaurant & Bar",https://www.thebankplymouth.co.uk/,Contemporary
"The Blockhouse",https://www.theblockhouse.co.uk/,"Bar & Grill"
"The Blue Walnut Cafe",https://www.bluewalnutcafe.co.uk/,"Vegetarian Cafe"
"The Boathouse Cafe",https://www.boathouseplymouth.co.uk/,"Harbour Cafe"
"The Bread & Roses",https://www.breadandroses.coop/,"Vegetarian Pub"
"The Bread Factory",https://www.breadfactoryplymouth.co.uk/,"Bakery Cafe"
"The Breakfast Club Plymouth",https://www.thebreakfastclubcafes.com/,"All Day Breakfast"
"The Britannia Inn",https://www.britanniainnplymouth.co.uk/,"Community Pub"
"The China Palace",https://www.chinapalaceplymouth.co.uk/,Chinese
"The Clifton",https://www.cliftonplymouth.co.uk/,"Local Pub"
"The Clovelly Bay Inn",https://www.clovellybayinn.co.uk/,"Coastal Pub"
"The Cooperage",https://www.cooperageplymouth.co.uk/,"Barbican Pub"
"The Cornish Arms",https://www.cornisharmsplymouth.co.uk/,"Traditional Pub"
"The Crown & Column",https://www.crownandcolumn.co.uk/,Gastropub
"The Dock",https://www.thedockplymouth.co.uk/,"Modern British"
"The Dock Cafe Bar",https://www.thedockcafebar.co.uk/,"Cafe Bar"
"The Dolphin Brasserie",https://www.dolphinbrasserie.co.uk/,"French Brasserie"
"The Dolphin Hotel",https://www.dolphinhotelbarbican.co.uk/,"Pub & Gastropub"
"The Dolphin Hotel Restaurant",https://www.dolphinhotelplymouth.co.uk/,"Traditional British"
"The Early Bird Cafe",https://www.earlybirdcafe.co.uk/,"Breakfast Cafe"
"The Edgcumbe Arms",https://www.edgcumbearms.co.uk/,"Waterside Pub"
"The Fawn Cafe",https://www.fawncafe.co.uk/,Cafe
"The Fawn Private Members Club",https://www.thefawnplymouth.co.uk/,"Modern British"
"The Firestone Bar & Grill",https://www.firestoneplymouth.co.uk/,American
"The Fishbone Grill",https://www.fishbonegrill.co.uk/,"Seafood Grill"
"The Fishermans Arms",https://www.fishermansarmsplymouth.co.uk/,"Traditional Pub"
"The Fishing Boat Inn",https://www.fishingboatinn.co.uk/,"Seafood Pub"
"The Floating Bridge Inn",https://www.thefloatingbridgeinn.co.uk/,"Pub Food"
"The Fortescue Hotel Restaurant",https://www.fortescuehotel.co.uk/,"Hotel Restaurant"
"The George & Dragon",https://www.georgeanddragonplymouth.co.uk/,"Traditional Pub"
"The Gog & Magog",https://www.gogandmagog.co.uk/,"Historic Pub"
"The Good Companion",https://www.goodcompanionplymouth.co.uk/,"Modern British"
"The Greedy Goose",https://www.greedygooseplymouth.co.uk/,British
"The Greedy Goose",https://www.thegreedygoose.co.uk/,"Contemporary British"
"The Grenadier",https://www.grenadierplymouth.co.uk/,"Traditional Pub"
"The Hungry Horse - Plymouth",https://www.hungryhorse.co.uk/,"Family Pub"
"The Hyde Park",https://www.hydeparkplymouth.co.uk/,Pub
"The King's Tamerton Inn",https://www.kingstamertoninn.co.uk/,"Community Pub"
"The Lord High Admiral",https://www.lordhighadmiral.co.uk/,Gastropub
"The Lounge",https://www.loungesplymouth.co.uk/,"Lounge Bar"
"The Mannamead",https://www.mannamead.co.uk/,"Community Pub"
"The Maritime Inn",https://www.maritimeinnplymouth.co.uk/,"Pub Food"
"The Minerva Inn",https://www.minerva-inn.co.uk/,"Historic Pub"
"The Mission",https://www.themission-plymouth.co.uk/,"Mexican & American"
"The Mission",https://www.themissionplymouth.co.uk/,Mexican
"The Morley Arms",https://www.morleyarms.co.uk/,"Traditional Pub"
"The Navy Inn",https://www.navyinnplymouth.co.uk/,"Historic Pub"
"The Nowhere Inn",https://www.nowhereinn.co.uk/,"Waterside Pub"
"The Phoenix",https://www.phoenixplymouth.co.uk/,Pub
"The Ploughman's Bakehouse",https://www.ploughmansbakehouse.co.uk/,Bakery
"The Plympton Inn",https://www.plymptoninn.co.uk/,"Village Pub"
"The Prince Maurice",https://www.princemaurice.co.uk/,Gastropub
"The Prospect Inn",https://www.prospectinn.co.uk/,"Waterside Pub"
"The Roundabout Cafe",https://www.roundaboutcafe.co.uk/,Cafe
"The Royal Fleet Club",https://www.theroyalfleetclub.co.uk/,"Club Restaurant"
"The Ship & Castle",https://www.shipandcastle.co.uk/,"Historic Pub"
"The Ship Inn",https://www.theshipinnplymouth.co.uk/,"Traditional Pub"
"The Stable Pizza & Cider",https://www.stablepizza.com/,"Pizza & Cider"
"The Stable Plymouth",https://stablepizza.com/restaurants/plymouth/,"Pizza & Cider"
"The Stoke Inn",https://www.stokeinn.co.uk/,"Local Pub"
"The Terrace Cafe",https://www.plymouthpavilions.com/,Cafe
"The Terrace Restaurant & Bar",https://www.national-aquarium.co.uk/,"Modern British"
"The Thistle Park Brewers Fayre",https://www.brewersfayre.co.uk/,"Family Pub Chain"
"The Thistle Park Tavern",https://www.thistleparktavern.co.uk/,"Family Pub"
"The Treasury Bar & Restaurant",https://www.thetreasuryplymouth.co.uk/,International
"The VOT",https://thevot.uk/,"Tapas & Craft Bar"
"The Village Restaurant",https://thevillagerestaurantplymouth.co.uk/,"Seafood & Mediterranean (Greek)"
"The Waterfront",https://www.waterfrontplymouth.co.uk/,"British Pub"
"The Yarde",https://www.theyarde.co.uk/,"Modern British"
"Toby Carvery Plymouth",https://www.tobycarvery.co.uk/restaurants/southwest/plymouthmarshmill,Carvery
"Trawlers Catch",https://www.trawlerscatch.co.uk/,Seafood
"Turtle Bay Plymouth",https://www.turtlebay.co.uk/restaurants/plymouth/,Caribbean
"Turtle Bay Plymouth",https://www.turtlebay.co.uk/restaurants/plymouth,Caribbean
"Urban Reef",https://www.urbanreef.com/,"Beach Bar"
"Viva Brazil",https://www.vivabrazil.com/,"Brazilian Churrascaria"
"Wagamama Plymouth",https://www.wagamama.com/restaurants/plymouth/,"Asian Fusion"
"Wagamama Plymouth",https://www.wagamama.com/restaurants/plymouth,Japanese/Pan-Asian
"Wagamama Royal William Yard",https://www.wagamama.com/,Asian
"Wetherspoons - The Gipsy Moth",https://www.jdwetherspoon.com/pubs/all-pubs/england/devon/the-gipsy-moth-plymouth,"Pub Chain"
"Wildwood Plymouth",https://www.wildwoodrestaurants.co.uk/restaurant/plymouth/,Italian
"Wildwood Plymouth",https://www.wildwoodrestaurants.co.uk/restaurant/plymouth,Italian
"Wing Wah Chinese Restaurant",https://www.wingwahplymouth.co.uk/,Chinese
"Yo! Sushi Plymouth",https://yosushi.com/restaurants/plymouth,"Japanese Sushi"
"Yukisan Ramen Bar",https://www.yukisan.co.uk/,"Japanese Ramen"
"Yukisan Ramen Bar",https://www.yukisanramen.co.uk/,"Japanese Ramen"
"Zaika Indian Cuisine",https://www.zaikaplymouth.co.uk/,Indian
"Zizzi Plymouth",https://www.zizzi.co.uk/restaurants/plymouth/,Italian
"Zizzi Plymouth",https://www.zizzi.co.uk/restaurants/plymouth,Italian
"Zizzi Plymouth Barbican",https://www.zizzi.co.uk/,Italian
Zuzimo,https://www.zuzimo.co.uk/,Mediterranean
"Àclèaf at Boringdon Hall",https://boringdonhall.co.uk/dining-drinks/acleaf-2/,"Fine Dining (1 Michelin Star)"
